Temperature,GVelocity,LVelocity,VoidFraction,Location
323.01,0.00012951,0.76988,0.006216,0.011665
323.01,0.00012891,0.76939,0.0061761,0.011649
323.01,0.00012831,0.76891,0.0061362,0.011633
323.01,0.00012771,0.76843,0.0060962,0.011616
323.01,0.00012711,0.76795,0.0060563,0.011599
323.01,0.00012651,0.76747,0.0060164,0.011583
323.01,0.00012591,0.76699,0.0059765,0.011567
323.01,0.00012531,0.76651,0.0059365,0.01155
323.01,0.00012471,0.76603,0.0058966,0.011533
323.01,0.00012409,0.76552,0.0058582,0.011517
323.01,0.00012343,0.76495,0.0058228,0.011501
323.01,0.00012278,0.76438,0.0057874,0.011484
323.01,0.00012212,0.76381,0.0057521,0.011467
323.01,0.00012147,0.76325,0.0057167,0.011451
323.01,0.00012081,0.76268,0.0056813,0.011435
323.01,0.00012016,0.76211,0.0056459,0.011418
323.01,0.00011951,0.76154,0.0056106,0.011401
323.01,0.00011885,0.76097,0.0055752,0.011385
323.01,0.0001182,0.7604,0.0055398,0.011369
323.01,0.00011754,0.75983,0.0055044,0.011352
323.01,0.00011689,0.75926,0.0054691,0.011335
323.01,0.00011623,0.7587,0.0054337,0.011319
323.01,0.00011558,0.75813,0.0053983,0.011303
323.01,0.00011492,0.75756,0.0053629,0.011286
323.01,0.00011427,0.75699,0.0053276,0.011269
323.01,0.00011361,0.75642,0.0052922,0.011253
323.01,0.00011296,0.75585,0.0052569,0.011236
323.01,0.00011226,0.75519,0.0052253,0.01122
323.01,0.00011157,0.75452,0.0051936,0.011204
323.01,0.00011087,0.75386,0.005162,0.011187
323.01,0.00011018,0.75319,0.0051303,0.01117
323.01,0.00010948,0.75253,0.0050986,0.011154
323.01,0.00010878,0.75187,0.005067,0.011138
323.01,0.00010809,0.7512,0.0050353,0.011121
323.01,0.00010739,0.75054,0.0050037,0.011104
323.01,0.0001067,0.74988,0.004972,0.011088
323.01,0.000106,0.74921,0.0049404,0.011072
323.01,0.0001053,0.74855,0.0049087,0.011055
323.01,0.00010461,0.74788,0.004877,0.011038
323.01,0.00010391,0.74722,0.0048454,0.011022
323.01,0.00010322,0.74656,0.0048137,0.011006
323.01,0.00010252,0.74589,0.0047821,0.010989
323.01,0.00010182,0.74523,0.0047504,0.010972
323.01,0.0001011,0.74448,0.0047213,0.010956
323.01,0.00010038,0.7437,0.0046926,0.01094
323.01,9.96E-05,0.74293,0.004664,0.010923
323.01,9.89E-05,0.74216,0.0046353,0.010906
323.01,9.82E-05,0.74139,0.0046067,0.01089
323.01,9.75E-05,0.74062,0.0045781,0.010874
323.01,9.67E-05,0.73985,0.0045494,0.010857
323.01,9.60E-05,0.73908,0.0045208,0.01084
323.01,9.53E-05,0.7383,0.0044921,0.010824
323.01,9.46E-05,0.73753,0.0044635,0.010808
323.01,9.38E-05,0.73676,0.0044349,0.010791
323.01,9.31E-05,0.73599,0.0044062,0.010774
323.01,9.24E-05,0.73522,0.0043776,0.010758
323.01,9.16E-05,0.73445,0.0043489,0.010742
323.01,9.09E-05,0.73368,0.0043203,0.010725
323.01,9.02E-05,0.73282,0.0042932,0.010708
323.01,8.94E-05,0.73192,0.004267,0.010692
323.01,8.87E-05,0.73102,0.0042408,0.010676
323.01,8.79E-05,0.73013,0.0042145,0.010659
323.01,8.72E-05,0.72923,0.0041883,0.010642
323.01,8.64E-05,0.72833,0.0041621,0.010626
323.01,8.56E-05,0.72743,0.0041358,0.01061
323.01,8.49E-05,0.72653,0.0041096,0.010593
323.01,8.41E-05,0.72563,0.0040834,0.010576
323.01,8.34E-05,0.72474,0.0040571,0.01056
323.01,8.26E-05,0.72384,0.0040309,0.010544
323.01,8.19E-05,0.72294,0.0040047,0.010527
323.01,8.11E-05,0.72204,0.0039784,0.01051
323.01,8.04E-05,0.72114,0.0039522,0.010494
323.01,7.96E-05,0.72018,0.0039269,0.010478
323.01,7.88E-05,0.71913,0.0039027,0.010461
323.01,7.80E-05,0.71809,0.0038786,0.010444
323.01,7.73E-05,0.71705,0.0038544,0.010428
323.01,7.65E-05,0.716,0.0038302,0.010411
323.01,7.57E-05,0.71496,0.0038061,0.010395
323.01,7.49E-05,0.71391,0.0037819,0.010379
323.01,7.41E-05,0.71287,0.0037577,0.010362
323.01,7.34E-05,0.71182,0.0037336,0.010345
323.01,7.26E-05,0.71078,0.0037094,0.010329
323.01,7.18E-05,0.70973,0.0036852,0.010313
323.01,7.10E-05,0.70869,0.0036611,0.010296
323.01,7.03E-05,0.70764,0.0036369,0.010279
323.01,6.95E-05,0.70657,0.003613,0.010263
323.01,6.87E-05,0.70536,0.0035908,0.010247
323.01,6.79E-05,0.70415,0.0035685,0.01023
323.01,6.71E-05,0.70294,0.0035463,0.010213
323.01,6.63E-05,0.70173,0.0035241,0.010197
323.01,6.55E-05,0.70052,0.0035018,0.010181
323.01,6.47E-05,0.69931,0.0034796,0.010164
323.01,6.39E-05,0.6981,0.0034574,0.010147
323.01,6.31E-05,0.69689,0.0034351,0.010131
323.01,6.23E-05,0.69568,0.0034129,0.010115
323.01,6.15E-05,0.69447,0.0033907,0.010098
323.01,6.07E-05,0.69326,0.0033684,0.010081
323.01,6.00E-05,0.69205,0.0033462,0.010065
323.01,5.92E-05,0.69071,0.0033252,0.010049
323.01,5.84E-05,0.6893,0.0033047,0.010032
323.01,5.76E-05,0.6879,0.0032843,0.010015
323.01,5.68E-05,0.6865,0.0032639,0.009999
323.01,5.60E-05,0.6851,0.0032434,0.0099825
323.01,5.52E-05,0.68369,0.003223,0.009966
323.01,5.44E-05,0.68229,0.0032026,0.0099495
323.01,5.36E-05,0.68089,0.0031821,0.009933
323.01,5.28E-05,0.67949,0.0031617,0.0099165
323.01,5.20E-05,0.67808,0.0031413,0.0099
323.01,5.13E-05,0.67668,0.0031208,0.0098835
323.01,5.05E-05,0.67528,0.0031004,0.009867
323.01,4.97E-05,0.67364,0.0030816,0.0098505
323.01,4.89E-05,0.67201,0.0030628,0.009834
323.01,4.82E-05,0.67037,0.003044,0.0098175
323.01,4.74E-05,0.66874,0.0030252,0.009801
323.01,4.66E-05,0.6671,0.0030064,0.0097845
323.01,4.58E-05,0.66547,0.0029876,0.009768
323.01,4.51E-05,0.66384,0.0029688,0.0097515
323.01,4.43E-05,0.6622,0.00295,0.009735
323.01,4.35E-05,0.66057,0.0029312,0.0097185
323.01,4.27E-05,0.65893,0.0029124,0.009702
323.01,4.20E-05,0.65728,0.0028937,0.0096855
323.01,4.12E-05,0.65535,0.0028763,0.009669
323.01,4.05E-05,0.65342,0.0028589,0.0096525
323.01,3.97E-05,0.65149,0.0028416,0.009636
323.01,3.90E-05,0.64956,0.0028242,0.0096195
323.01,3.83E-05,0.64763,0.0028068,0.009603
323.01,3.75E-05,0.64571,0.0027895,0.0095865
323.01,3.68E-05,0.64378,0.0027721,0.00957
323.01,3.60E-05,0.64185,0.0027548,0.0095535
323.01,3.53E-05,0.63992,0.0027374,0.009537
323.01,3.45E-05,0.63799,0.00272,0.0095205
323.01,3.38E-05,0.63574,0.0027037,0.009504
323.01,3.31E-05,0.63342,0.0026876,0.0094875
323.01,3.24E-05,0.6311,0.0026715,0.009471
323.01,3.17E-05,0.62878,0.0026553,0.0094545
323.01,3.10E-05,0.62646,0.0026392,0.009438
323.01,3.03E-05,0.62414,0.0026231,0.0094215
323.01,2.96E-05,0.62182,0.002607,0.009405
323.01,2.88E-05,0.6195,0.0025908,0.0093885
323.01,2.81E-05,0.61718,0.0025747,0.009372
323.01,2.74E-05,0.61473,0.0025589,0.0093555
323.01,2.68E-05,0.61186,0.0025438,0.009339
323.01,2.61E-05,0.609,0.0025287,0.0093225
323.01,2.54E-05,0.60613,0.0025137,0.009306
323.01,2.47E-05,0.60326,0.0024986,0.0092895
323.01,2.40E-05,0.60039,0.0024835,0.009273
323.01,2.34E-05,0.59753,0.0024685,0.0092565
323.01,2.27E-05,0.59466,0.0024534,0.00924
323.01,2.20E-05,0.59179,0.0024383,0.0092235
323.01,2.13E-05,0.58871,0.0024235,0.009207
323.01,2.07E-05,0.58503,0.0024093,0.0091905
323.01,2.00E-05,0.58134,0.0023952,0.009174
323.01,1.94E-05,0.57765,0.002381,0.0091575
