CurrentDensity,BubbleDiameter,TemperatureIncrease,VoidFraction,Location
1500,100,0.01,0.0056459,0.011418
1500,100,0.01,0.0056106,0.011401
1500,100,0.01,0.0055752,0.011385
1500,100,0.01,0.0055398,0.011369
1500,100,0.01,0.0055044,0.011352
1500,100,0.01,0.0054691,0.011335
1500,100,0.01,0.0054337,0.011319
1500,100,0.01,0.0053983,0.011303
1500,100,0.01,0.0053629,0.011286
1500,100,0.01,0.0053276,0.011269
1500,100,0.01,0.0052922,0.011253
1500,100,0.01,0.0052569,0.011236
1500,100,0.01,0.0052253,0.01122
1500,100,0.01,0.0051936,0.011204
1500,100,0.01,0.005162,0.011187
1500,100,0.01,0.0051303,0.01117
1500,100,0.01,0.0050986,0.011154
1500,100,0.01,0.005067,0.011138
1500,100,0.01,0.0050353,0.011121
1500,100,0.01,0.0050037,0.011104
1500,100,0.01,0.004972,0.011088
1500,100,0.01,0.0049404,0.011072
1500,100,0.01,0.0049087,0.011055
1500,100,0.01,0.004877,0.011038
1500,100,0.01,0.0048454,0.011022
1500,100,0.01,0.0048137,0.011006
1500,100,0.01,0.0047821,0.010989
1500,100,0.01,0.0047504,0.010972
1500,100,0.01,0.0047213,0.010956
1500,100,0.01,0.0046926,0.01094
1500,100,0.01,0.004664,0.010923
1500,100,0.01,0.0046353,0.010906
1500,100,0.01,0.0046067,0.01089
1500,100,0.01,0.0045781,0.010874
1500,100,0.01,0.0045494,0.010857
1500,100,0.01,0.0045208,0.01084
1500,100,0.01,0.0044921,0.010824
1500,100,0.01,0.0044635,0.010808
1500,100,0.01,0.0044349,0.010791
1500,100,0.01,0.0044062,0.010774
1500,100,0.01,0.0043776,0.010758
1500,100,0.01,0.0043489,0.010742
1500,100,0.01,0.0043203,0.010725
1500,100,0.01,0.0042932,0.010708
1500,100,0.01,0.004267,0.010692
1500,100,0.01,0.0042408,0.010676
1500,100,0.01,0.0042145,0.010659
1500,100,0.01,0.0041883,0.010642
1500,100,0.01,0.0041621,0.010626
1500,100,0.01,0.0041358,0.01061
1500,100,0.01,0.0041096,0.010593
1500,100,0.01,0.0040834,0.010576
1500,100,0.01,0.0040571,0.01056
1500,100,0.01,0.0040309,0.010544
1500,100,0.01,0.0040047,0.010527
1500,100,0.01,0.0039784,0.01051
1500,100,0.01,0.0039522,0.010494
1500,100,0.01,0.0039269,0.010478
1500,100,0.01,0.0039027,0.010461
1500,100,0.01,0.0038786,0.010444
1500,100,0.01,0.0038544,0.010428
1500,100,0.01,0.0038302,0.010411
1500,100,0.01,0.0038061,0.010395
1500,100,0.01,0.0037819,0.010379
1500,100,0.01,0.0037577,0.010362
1500,100,0.01,0.0037336,0.010345
1500,100,0.01,0.0037094,0.010329
1500,100,0.01,0.0036852,0.010313
1500,100,0.01,0.0036611,0.010296
1500,100,0.01,0.0036369,0.010279
1500,100,0.01,0.003613,0.010263
1500,100,0.01,0.0035908,0.010247
1500,100,0.01,0.0035685,0.01023
1500,100,0.01,0.0035463,0.010213
1500,100,0.01,0.0035241,0.010197
1500,100,0.01,0.0035018,0.010181
1500,100,0.01,0.0034796,0.010164
1500,100,0.01,0.0034574,0.010147
1500,100,0.01,0.0034351,0.010131
1500,100,0.01,0.0034129,0.010115
1500,100,0.01,0.0033907,0.010098
1500,100,0.01,0.0033684,0.010081
1500,100,0.01,0.0033462,0.010065
1500,100,0.01,0.0033252,0.010049
1500,100,0.01,0.0033047,0.010032
1500,100,0.01,0.0032843,0.010015
1500,100,0.01,0.0032639,0.009999
1500,100,0.01,0.0032434,0.0099825
1500,100,0.01,0.003223,0.009966
1500,100,0.01,0.0032026,0.0099495
1500,100,0.01,0.0031821,0.009933
1500,100,0.01,0.0031617,0.0099165
1500,100,0.01,0.0031413,0.0099
1500,100,0.01,0.0031208,0.0098835
1500,100,0.01,0.0031004,0.009867
1500,100,0.01,0.0030816,0.0098505
1500,100,0.01,0.0030628,0.009834
1500,100,0.01,0.003044,0.0098175
1500,100,0.01,0.0030252,0.009801
1500,100,0.01,0.0030064,0.0097845
1500,100,0.01,0.0029876,0.009768
1500,100,0.01,0.0029688,0.0097515
1500,100,0.01,0.00295,0.009735
1500,100,0.01,0.0029312,0.0097185
1500,100,0.01,0.0029124,0.009702
1500,100,0.01,0.0028937,0.0096855
1500,100,0.01,0.0028763,0.009669
1500,100,0.01,0.0028589,0.0096525
1500,100,0.01,0.0028416,0.009636
1500,100,0.01,0.0028242,0.0096195
1500,100,0.01,0.0028068,0.009603
1500,100,0.01,0.0027895,0.0095865
1500,100,0.01,0.0027721,0.00957
1500,100,0.01,0.0027548,0.0095535
1500,100,0.01,0.0027374,0.009537
1500,100,0.01,0.00272,0.0095205
1500,100,0.01,0.0027037,0.009504
1500,100,0.01,0.0026876,0.0094875
1500,100,0.01,0.0026715,0.009471
1500,100,0.01,0.0026553,0.0094545
1500,100,0.01,0.0026392,0.009438
1500,100,0.01,0.0026231,0.0094215
1500,100,0.01,0.002607,0.009405
1500,100,0.01,0.0025908,0.0093885
1500,100,0.01,0.0025747,0.009372
1500,100,0.01,0.0025589,0.0093555
1500,100,0.01,0.0025438,0.009339
1500,100,0.01,0.0025287,0.0093225
1500,100,0.01,0.0025137,0.009306
1500,100,0.01,0.0024986,0.0092895
1500,100,0.01,0.0024835,0.009273
1500,100,0.01,0.0024685,0.0092565
1500,100,0.01,0.0024534,0.00924
1500,100,0.01,0.0024383,0.0092235
1500,100,0.01,0.0024235,0.009207
1500,100,0.01,0.0024093,0.0091905
1500,100,0.01,0.0023952,0.009174
1500,100,0.01,0.002381,0.0091575
1500,100,0.01,0.0023668,0.009141
1500,100,0.01,0.0023527,0.0091245
1500,100,0.01,0.0023385,0.009108
1500,100,0.01,0.0023244,0.0090915
1500,100,0.01,0.0023102,0.009075
1500,100,0.01,0.0022967,0.0090585
1500,100,0.01,0.0022833,0.009042
1500,100,0.01,0.0022699,0.0090255
1500,100,0.01,0.0022565,0.009009
1500,100,0.01,0.0022432,0.0089925
1500,100,0.01,0.0022298,0.008976
1500,100,0.01,0.0022164,0.0089595
1500,100,0.01,0.002203,0.008943
1500,100,0.01,0.0021906,0.0089265
1500,100,0.01,0.0021783,0.00891
1500,100,0.01,0.0021659,0.0088935
1500,100,0.01,0.0021536,0.008877
1500,100,0.01,0.0021412,0.0088605
1500,100,0.01,0.0021288,0.008844
1500,100,0.01,0.0021165,0.0088275
1500,100,0.01,0.0021064,0.008811
1500,100,0.01,0.0020979,0.0087945
1500,100,0.01,0.0020894,0.008778
1500,100,0.01,0.0020809,0.0087615
1500,100,0.01,0.0020724,0.008745
1500,100,0.01,0.0020639,0.0087285
1500,100,0.01,0.0020554,0.008712
1500,100,0.01,0.0020578,0.0086955
1500,100,0.01,0.0020652,0.008679
1500,100,0.01,0.0020727,0.0086625
1500,100,0.01,0.0020802,0.008646
1500,100,0.01,0.0020876,0.0086295
1500,100,0.01,0.0020951,0.008613
1500,100,0.01,0.0021033,0.0085965
1500,100,0.01,0.002114,0.00858
1500,100,0.01,0.0021248,0.0085635
1500,100,0.02,0.0021356,0.008547
1500,100,0.02,0.0021464,0.0085305
1500,100,0.02,0.0021572,0.008514
500,50,0.04,0.072234,0.0165
500,50,0.04,0.069341,0.016484
500,50,0.04,0.066448,0.016467
500,50,0.03,0.063556,0.016451
500,50,0.03,0.060663,0.016434
500,50,0.03,0.05777,0.016417
500,50,0.02,0.054877,0.016401
500,50,0.02,0.051349,0.016384
500,50,0.02,0.04778,0.016368
500,50,0.02,0.044211,0.016352
500,50,0.02,0.040641,0.016335
500,50,0.02,0.037072,0.016319
500,50,0.02,0.033503,0.016302
500,50,0.02,0.031068,0.016285
500,50,0.01,0.029923,0.016269
500,50,0.01,0.028778,0.016252
500,50,0.01,0.027633,0.016236
500,50,0.01,0.026488,0.01622
500,50,0.01,0.025344,0.016203
500,50,0.01,0.024199,0.016186
500,50,0.01,0.023407,0.01617
500,50,0.01,0.022895,0.016153
500,50,0.01,0.022383,0.016137
500,50,0.01,0.021871,0.016121
500,50,0.01,0.021359,0.016104
500,50,0.01,0.020846,0.016088
500,50,0.01,0.020334,0.016071
500,50,0.01,0.019858,0.016054
500,50,0.01,0.019543,0.016038
500,50,0.01,0.019229,0.016021
500,50,0.01,0.018915,0.016005
500,50,0.01,0.0186,0.015989
500,50,0.01,0.018286,0.015972
500,50,0.01,0.017971,0.015956
500,50,0.01,0.017657,0.015939
500,50,0.01,0.01737,0.015922
500,50,0.01,0.017147,0.015906
500,50,0.01,0.016923,0.015889
500,50,0.01,0.0167,0.015873
500,50,0.01,0.016477,0.015857
500,50,0.01,0.016253,0.01584
500,50,0.01,0.01603,0.015824
500,50,0.01,0.015807,0.015807
500,50,0.01,0.015583,0.01579
500,50,0.01,0.015405,0.015774
500,50,0.01,0.015233,0.015757
500,50,0.01,0.015061,0.015741
500,50,0.01,0.014888,0.015725
500,50,0.01,0.014716,0.015708
500,50,0.01,0.014543,0.015692
500,50,0.01,0.014371,0.015675
500,50,0.01,0.014199,0.015658
500,50,0.01,0.014026,0.015642
500,50,0.01,0.013887,0.015625
500,50,0.01,0.01375,0.015609
500,50,0.01,0.013614,0.015592
500,50,0.01,0.013478,0.015576
500,50,0.01,0.013341,0.01556
500,50,0.01,0.013205,0.015543
500,50,0.01,0.013069,0.015526
500,50,0.01,0.012932,0.01551
500,50,0.01,0.012796,0.015494
500,50,0.01,0.012668,0.015477
500,50,0.01,0.012557,0.01546
500,50,0.01,0.012447,0.015444
500,50,0.01,0.012337,0.015428
500,50,0.01,0.012226,0.015411
500,50,0.01,0.012116,0.015395
500,50,0.01,0.012005,0.015378
500,50,0.01,0.011895,0.015361
500,50,0.01,0.011784,0.015345
500,50,0.01,0.011674,0.015329
500,50,0.01,0.011565,0.015312
500,50,0.01,0.011472,0.015295
500,50,0.01,0.011379,0.015279
500,50,0.01,0.011286,0.015263
500,50,0.01,0.011192,0.015246
500,50,0.01,0.011099,0.015229
500,50,0.01,0.011006,0.015213
500,50,0.01,0.010913,0.015197
500,50,0.01,0.01082,0.01518
500,50,0.01,0.010727,0.015163
500,50,0.01,0.010633,0.015147
